State,Year,Region,Age_Group,Gender,Literacy_Rate (%),Dropout_Rate (%),Internet_Access (%),Govt_Education_Spending (₹ per student),Teacher_Student_Ratio
Andhra Pradesh,2015,Urban,Below 15,Male,82.97,9.31,79.72,5718.42,28.13
Andhra Pradesh,2015,Rural,Below 15,Male,65.66,23.9,56.51,4124.42,34.34
Andhra Pradesh,2015,Urban,Below 15,Female,68.37,7.67,73.63,2969.38,16.2
Andhra Pradesh,2015,Rural,Below 15,Female,57.38,10.94,49.71,3773.58,18.7
Andhra Pradesh,2015,Urban,15-24,Male,96.66,14.87,71.01,3360.2,25.64
Andhra Pradesh,2015,Rural,15-24,Male,73.11,16.25,50.64,4019.49,27.67
Andhra Pradesh,2015,Urban,15-24,Female,70.98,25.26,69.8,3653.83,36.58
Andhra Pradesh,2015,Rural,15-24,Female,54.79,23.04,15.6,3437.45,31.57
Andhra Pradesh,2015,Urban,Above 24,Male,85.38,10.86,68.27,4259.12,18.17
Andhra Pradesh,2015,Rural,Above 24,Male,60.8,13.7,60.86,4774.89,15.9
Andhra Pradesh,2015,Urban,Above 24,Female,76.24,8.07,59.85,4989.34,38.25
Andhra Pradesh,2015,Rural,Above 24,Female,72.31,11.8,40.36,4765.01,37.8
Andhra Pradesh,2016,Urban,Below 15,Male,73.21,9.07,53.4,3543.03,36.5
Andhra Pradesh,2016,Rural,Below 15,Male,81.56,15.64,60.05,4789.31,24.84
Andhra Pradesh,2016,Urban,Below 15,Female,76.61,17.69,69.46,5751.71,15.0
Andhra Pradesh,2016,Rural,Below 15,Female,71.22,16.44,40.51,4573.41,15.0
Andhra Pradesh,2016,Urban,15-24,Male,79.8,17.79,92.17,4085.38,23.53
Andhra Pradesh,2016,Rural,15-24,Male,66.98,26.58,49.93,4076.19,34.11
Andhra Pradesh,2016,Urban,15-24,Female,77.97,20.84,59.47,4237.87,26.86
Andhra Pradesh,2016,Rural,15-24,Female,52.36,23.48,48.92,4504.09,28.12
Andhra Pradesh,2016,Urban,Above 24,Male,63.85,7.9,64.86,3858.18,28.71
Andhra Pradesh,2016,Rural,Above 24,Male,72.04,25.43,47.62,4706.04,29.4
Andhra Pradesh,2016,Urban,Above 24,Female,53.81,9.87,70.9,6470.59,28.46
Andhra Pradesh,2016,Rural,Above 24,Female,66.02,15.83,27.47,5414.26,36.02
Andhra Pradesh,2017,Urban,Below 15,Male,85.91,5.45,91.04,3378.52,34.69
Andhra Pradesh,2017,Rural,Below 15,Male,89.9,11.05,36.51,4579.72,25.97
Andhra Pradesh,2017,Urban,Below 15,Female,57.49,10.34,54.07,4878.87,22.64
Andhra Pradesh,2017,Rural,Below 15,Female,78.5,12.08,40.17,5150.81,20.15
Andhra Pradesh,2017,Urban,15-24,Male,84.27,22.54,45.89,4647.71,32.08
Andhra Pradesh,2017,Rural,15-24,Male,79.82,15.82,25.19,4917.55,32.38
Andhra Pradesh,2017,Urban,15-24,Female,79.5,17.73,59.8,4685.8,32.34
Andhra Pradesh,2017,Rural,15-24,Female,59.86,31.33,52.11,3546.96,35.25
Andhra Pradesh,2017,Urban,Above 24,Male,68.25,13.94,87.38,3843.45,37.71
Andhra Pradesh,2017,Rural,Above 24,Male,72.13,20.11,73.45,4303.69,23.97
Andhra Pradesh,2017,Urban,Above 24,Female,64.1,5.92,68.84,4772.92,32.21
Andhra Pradesh,2017,Rural,Above 24,Female,71.27,16.07,66.8,4288.27,51.76
Andhra Pradesh,2018,Urban,Below 15,Male,84.26,5.71,53.94,4885.98,28.21
Andhra Pradesh,2018,Rural,Below 15,Male,75.14,18.37,43.91,3822.57,17.88
Andhra Pradesh,2018,Urban,Below 15,Female,68.53,14.28,73.21,3503.41,31.39
Andhra Pradesh,2018,Rural,Below 15,Female,66.85,11.58,47.31,4546.57,20.86
Andhra Pradesh,2018,Urban,15-24,Male,85.58,18.8,86.25,5343.04,18.98
Andhra Pradesh,2018,Rural,15-24,Male,62.62,24.58,52.71,4912.04,60.0
Andhra Pradesh,2018,Urban,15-24,Female,82.71,21.68,84.31,5021.11,27.48
Andhra Pradesh,2018,Rural,15-24,Female,74.59,18.14,41.45,4111.71,30.65
